Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
252,25.875,73.510,6.822,0.191,1.000,10.873,17.528,2.702,4.942,0.533,5.060,14.237,3.810,2.616,14.237,3.810,2.616,3.738,2.451,0.978,-0.447,13.230,-89.849,1.525,3.822,2.506,15.749,3.624,2.397,0.505
253,6.128,18.306,2.089,0.692,1.000,27.082,29.718,2.899,4.613,0.533,3.995,28.377,3.696,2.143,28.377,3.696,2.143,1.511,1.314,0.823,-53.100,-74.824,147.158,1.150,1.836,1.596,28.664,3.558,2.131,0.395
254,9.740,31.106,3.204,0.356,1.000,20.098,23.722,2.899,4.810,0.533,4.261,22.025,3.909,2.812,22.025,3.909,2.812,2.165,1.878,0.886,167.726,79.511,102.580,1.152,2.443,2.120,22.009,3.822,2.397,0.483
255,0.170,1.475,0.541,1.018,1.000,26.687,27.412,6.062,6.655,0.533,1.332,27.011,6.332,0.952,27.011,6.332,0.952,0.553,0.376,0.322,-19.355,-84.489,132.150,1.470,1.719,1.169,26.885,6.194,0.799,0.176
256,0.911,4.619,0.967,0.953,1.000,27.610,28.862,6.194,7.182,0.533,1.864,28.258,6.663,1.124,28.258,6.663,1.124,0.809,0.677,0.491,-30.152,-70.278,129.621,1.194,1.646,1.378,28.400,6.589,1.065,0.242
257,3.394,10.935,1.463,0.996,1.000,12.059,13.706,6.194,7.776,0.533,2.663,12.932,6.987,1.564,12.932,6.987,1.564,1.253,0.895,0.796,69.209,79.687,-54.360,1.400,1.573,1.124,12.718,6.787,1.332,0.308
258,5.028,14.761,1.876,0.889,1.000,17.264,19.636,6.260,8.303,0.533,2.663,18.275,7.243,1.488,18.275,7.243,1.488,1.360,1.094,0.912,-30.759,-48.633,151.605,1.243,1.490,1.199,17.923,6.919,1.332,0.308
259,3.589,11.929,1.620,0.858,1.000,13.904,15.617,6.260,8.105,0.533,2.930,14.713,7.126,1.634,14.713,7.126,1.634,1.241,0.934,0.837,82.536,73.520,9.549,1.329,1.482,1.115,14.431,7.051,1.598,0.373
260,2.103,9.417,1.693,0.599,1.500,15.815,17.198,6.326,8.303,0.533,2.663,16.520,7.130,1.524,16.520,7.130,1.524,1.160,0.785,0.695,86.393,63.010,69.706,1.479,1.670,1.130,16.671,7.051,1.332,0.264
261,2.055,11.342,2.267,0.327,-1.000,8.105,9.884,6.458,8.434,0.533,2.930,8.783,7.391,1.656,8.783,7.391,1.656,1.745,0.729,0.702,72.685,53.545,-100.056,2.395,2.485,1.038,8.632,6.919,1.864,0.242
262,0.014,0.265,0.281,1.167,1.000,31.234,31.366,8.500,8.896,0.533,0.799,31.300,8.698,0.666,31.300,8.698,0.666,0.333,0.301,0.181,0.000,90.000,180.000,1.106,1.837,1.661,31.234,8.500,0.533,0.066
263,3.084,11.216,1.615,0.762,1.000,19.900,22.140,9.752,11.202,0.533,2.663,21.267,10.491,1.866,21.267,10.491,1.866,1.230,0.918,0.785,9.960,43.112,-61.517,1.341,1.568,1.169,21.416,10.345,1.598,0.308
264,8.300,22.176,2.263,0.715,1.000,29.323,33.013,9.950,11.531,0.533,2.663,31.097,10.775,1.683,31.097,10.775,1.683,2.121,1.213,0.853,0.399,-1.765,106.957,1.750,2.488,1.422,30.904,10.675,1.332,0.308
265,2.958,10.153,1.454,0.945,1.000,33.145,34.594,10.082,11.663,0.533,2.663,33.895,10.856,1.606,33.895,10.856,1.606,1.227,0.808,0.787,-65.167,-71.070,128.634,1.519,1.560,1.026,33.870,10.807,1.332,0.308
266,6.609,17.996,1.976,0.848,1.000,40.261,42.897,10.214,11.927,0.533,2.930,41.535,11.073,1.795,41.535,11.073,1.795,1.491,1.383,0.846,-4.681,-31.351,104.788,1.078,1.763,1.635,40.920,10.938,1.598,0.373
