Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
302,0.600,3.625,0.872,0.855,1.000,5.667,6.853,27.544,28.400,0.533,1.864,6.226,27.919,1.377,6.226,27.919,1.377,0.772,0.573,0.437,21.687,-54.832,64.974,1.347,1.764,1.309,6.062,27.676,1.065,0.176
303,1.005,4.710,1.031,1.093,1.000,13.838,15.024,27.873,28.993,0.533,1.598,14.429,28.418,1.096,14.429,28.418,1.096,0.731,0.674,0.608,-92.405,-72.843,-41.859,1.085,1.203,1.109,14.101,28.071,0.799,0.176
304,0.457,2.953,0.780,0.917,1.000,8.896,9.818,27.741,28.598,0.533,1.864,9.354,28.154,1.317,9.354,28.154,1.317,0.712,0.475,0.439,-47.616,-75.359,147.144,1.500,1.624,1.082,9.093,28.005,1.065,0.176
305,0.406,2.779,0.729,0.868,1.000,47.180,47.905,28.532,29.323,0.533,1.864,47.539,28.948,1.198,47.539,28.948,1.198,0.811,0.433,0.375,-69.576,-77.660,132.980,1.875,2.162,1.153,47.510,28.928,1.065,0.198
306,0.188,1.665,0.521,0.871,1.000,65.433,66.026,28.796,29.257,0.533,1.598,65.726,29.017,1.174,65.726,29.017,1.174,0.662,0.365,0.305,-14.956,-85.398,113.037,1.816,2.172,1.196,65.631,28.928,1.065,0.176
307,0.421,2.728,0.732,0.987,1.000,26.094,26.951,29.059,29.784,0.533,1.598,26.534,29.449,0.988,26.534,29.449,0.988,0.658,0.508,0.413,-17.017,80.457,-84.320,1.297,1.592,1.228,26.555,29.191,0.799,0.176
308,0.091,1.011,0.442,0.913,1.000,57.789,58.250,29.125,29.652,0.533,1.332,57.997,29.367,0.989,57.997,29.367,0.989,0.559,0.291,0.277,-72.766,-80.212,-110.266,1.918,2.019,1.053,57.987,29.389,0.799,0.154
309,19.391,53.022,5.390,0.285,0.000,24.051,29.784,29.916,32.288,0.533,3.196,26.945,31.044,1.689,26.945,31.044,1.689,3.384,1.493,1.153,1.929,2.172,-63.122,2.267,2.934,1.294,26.885,30.311,1.598,0.373
310,5.142,18.888,2.524,0.444,1.500,12.718,15.024,29.784,32.025,0.533,3.728,13.943,30.987,1.821,13.943,30.987,1.821,1.795,1.166,0.794,65.010,48.053,-36.539,1.540,2.261,1.468,14.233,30.970,1.598,0.308
311,4.212,13.464,1.773,0.822,1.000,45.994,48.432,30.904,32.618,0.533,2.663,47.194,31.760,1.518,47.194,31.760,1.518,1.402,1.012,0.800,-10.436,-43.777,142.037,1.384,1.752,1.266,46.917,31.563,1.332,0.308
312,0.013,0.237,0.238,1.372,1.000,37.757,37.955,31.761,32.090,0.533,0.799,37.850,31.908,0.666,37.850,31.908,0.666,0.333,0.253,0.191,-99.520,-90.000,-123.857,1.316,1.746,1.327,37.823,31.827,0.533,0.088
313,0.451,2.761,0.787,1.093,1.000,32.683,33.606,31.959,32.815,0.533,1.332,33.175,32.400,0.912,33.175,32.400,0.912,0.598,0.553,0.457,-129.042,71.409,-168.228,1.082,1.308,1.209,33.145,32.156,0.799,0.176
314,4.959,15.974,1.829,0.682,1.000,52.913,55.681,31.036,32.486,0.533,2.930,54.337,31.834,1.855,54.337,31.834,1.855,1.504,1.207,0.741,0.207,-14.031,106.045,1.245,2.028,1.628,53.638,31.761,1.598,0.308
315,4.173,13.120,1.598,0.872,1.000,59.041,61.084,31.102,32.552,0.533,2.930,60.072,31.860,1.797,60.072,31.860,1.797,1.278,1.122,0.777,-18.089,-79.899,111.166,1.139,1.645,1.444,59.700,31.497,1.598,0.308
316,0.088,0.962,0.397,0.982,1.000,24.051,24.513,32.156,32.552,0.533,1.332,24.271,32.383,0.999,24.271,32.383,0.999,0.557,0.300,0.256,-64.322,-84.003,171.322,1.860,2.180,1.172,24.249,32.354,0.799,0.176
317,0.133,1.345,0.484,0.822,1.000,62.402,62.929,32.156,32.683,0.533,1.598,62.680,32.437,1.073,62.680,32.437,1.073,0.618,0.306,0.295,41.405,-83.969,71.513,2.018,2.092,1.037,62.731,32.420,1.065,0.176
318,0.014,0.244,0.204,1.498,1.000,33.738,34.067,32.552,32.749,0.533,0.799,33.913,32.656,0.666,33.913,32.656,0.666,0.333,0.245,0.199,92.436,-90.000,-173.019,1.360,1.678,1.233,33.870,32.618,0.533,0.110
319,0.028,0.511,0.335,0.652,1.000,54.297,54.560,32.618,33.013,0.533,1.332,54.431,32.788,0.999,54.431,32.788,0.999,0.535,0.243,0.203,-85.449,72.822,95.788,2.205,2.634,1.195,54.429,32.683,0.799,0.110
320,0.288,2.105,0.638,1.005,1.000,19.307,20.032,34.001,34.726,0.533,1.598,19.689,34.364,1.155,19.689,34.364,1.155,0.625,0.423,0.378,-52.091,-80.802,-170.640,1.479,1.656,1.120,19.636,34.397,0.799,0.176
321,0.019,0.330,0.231,1.073,1.000,6.985,7.248,34.726,34.990,0.533,1.065,7.112,34.850,0.882,7.112,34.850,0.882,0.406,0.222,0.207,-8.817,88.167,-143.205,1.828,1.961,1.073,7.051,34.726,0.799,0.088
322,0.076,1.029,0.539,0.605,1.000,33.474,33.804,34.529,35.253,0.533,1.332,33.678,34.897,1.025,33.678,34.897,1.025,0.495,0.360,0.250,80.910,72.751,108.650,1.377,1.980,1.438,33.606,34.792,0.799,0.110
323,0.131,1.661,0.938,0.422,1.000,25.699,26.160,34.594,35.978,0.533,1.332,25.930,35.357,1.071,25.930,35.357,1.071,0.804,0.444,0.224,74.840,-10.644,-88.057,1.813,3.588,1.979,25.765,34.792,0.799,0.110
325,0.192,1.557,0.630,1.105,1.000,17.726,18.450,35.385,36.110,0.533,1.065,18.070,35.701,0.783,18.070,35.701,0.783,0.457,0.443,0.390,39.374,62.722,-155.082,1.031,1.171,1.136,17.989,35.451,0.533,0.110
326,0.284,2.013,0.661,1.122,1.000,19.834,20.493,35.319,36.110,0.533,1.332,20.142,35.727,0.948,20.142,35.727,0.948,0.573,0.432,0.400,-33.171,-86.406,144.120,1.325,1.431,1.080,20.032,35.517,0.799,0.176
327,0.417,2.834,0.830,0.866,1.000,32.552,33.540,35.253,36.242,0.533,1.598,33.093,35.792,1.049,33.093,35.792,1.049,0.642,0.502,0.444,80.650,71.396,-26.717,1.279,1.446,1.131,33.079,35.715,0.799,0.176
328,0.038,0.498,0.371,1.333,1.000,17.001,17.396,35.715,36.176,0.533,0.799,17.197,35.949,0.666,17.197,35.949,0.666,0.333,0.308,0.275,90.152,-90.000,100.154,1.080,1.211,1.121,17.132,35.780,0.533,0.110
329,0.394,2.649,0.695,0.946,1.000,16.671,17.594,37.691,38.350,0.533,1.598,17.167,38.015,1.068,17.167,38.015,1.068,0.705,0.506,0.366,-79.010,-78.489,165.232,1.392,1.924,1.383,17.001,37.955,0.799,0.176
330,4.606,13.954,1.730,0.883,1.000,14.760,16.671,37.757,39.602,0.533,2.930,15.703,38.560,1.676,15.703,38.560,1.676,1.448,0.975,0.880,66.120,84.668,21.303,1.485,1.644,1.107,15.815,38.219,1.598,0.373
332,8.092,23.344,2.714,0.582,1.000,25.962,28.796,37.691,40.525,0.533,3.196,27.662,38.918,1.766,27.662,38.918,1.766,1.827,1.360,0.978,62.305,32.891,-49.109,1.343,1.868,1.391,28.005,38.878,1.598,0.329
333,6.547,18.368,2.145,0.782,1.500,28.730,30.970,37.823,40.261,0.533,3.196,29.752,38.922,1.756,29.752,38.922,1.756,1.385,1.181,1.077,-54.842,-43.325,-34.080,1.173,1.286,1.096,29.389,38.416,1.598,0.329
334,0.284,2.300,0.747,0.753,1.000,37.230,38.021,37.955,38.812,0.533,1.598,37.605,38.326,1.105,37.605,38.326,1.105,0.669,0.446,0.366,-61.734,-57.859,101.066,1.500,1.829,1.220,37.494,38.416,0.799,0.176
335,7.789,29.287,4.587,0.273,-0.500,37.296,40.920,37.626,40.327,0.533,3.462,39.579,39.059,1.767,39.579,39.059,1.767,1.983,1.389,1.085,-32.440,-24.595,122.188,1.428,1.827,1.280,39.998,38.680,1.598,0.351
336,4.704,15.850,2.091,0.628,1.000,31.959,34.858,37.757,39.471,0.533,3.462,33.292,38.595,1.954,33.292,38.595,1.954,1.508,1.098,0.824,-11.388,-36.399,120.676,1.374,1.830,1.333,32.749,38.680,1.598,0.308
337,3.818,12.922,1.957,0.764,1.000,51.727,53.374,38.219,40.525,0.533,2.663,52.624,39.312,1.696,52.624,39.312,1.696,1.422,0.982,0.768,86.734,38.983,69.526,1.447,1.852,1.280,52.320,38.878,1.598,0.308
338,4.613,16.177,2.159,0.568,-1.500,25.172,27.280,38.614,40.591,0.533,2.663,26.178,39.618,1.573,26.178,39.618,1.573,1.373,1.202,0.812,-121.279,-62.523,-67.277,1.142,1.690,1.480,25.765,39.207,1.332,0.308
339,7.112,24.788,3.062,0.376,0.000,34.660,37.823,37.560,40.195,0.533,3.462,36.146,38.776,2.027,36.146,38.776,2.027,1.601,1.454,1.011,100.307,41.994,-179.827,1.101,1.583,1.438,35.583,38.416,1.864,0.329
340,7.407,19.305,2.150,0.862,1.000,53.374,56.010,38.284,40.525,0.533,2.663,54.713,39.354,1.623,54.713,39.354,1.623,1.443,1.317,1.020,-3.102,-10.262,140.003,1.096,1.415,1.291,54.692,39.339,1.332,0.308
341,6.725,24.641,3.074,0.342,1.500,22.404,25.765,37.823,40.261,0.533,2.930,23.932,39.017,1.714,23.932,39.017,1.714,1.875,1.293,0.974,-23.819,-8.690,137.058,1.450,1.925,1.328,23.985,38.943,1.598,0.308
342,0.038,0.491,0.362,1.391,1.000,48.037,48.432,39.471,39.932,0.533,0.799,48.239,39.717,0.666,48.239,39.717,0.666,0.333,0.306,0.275,90.528,-90.000,99.865,1.088,1.211,1.113,48.169,39.602,0.533,0.110
343,0.947,4.749,0.905,0.947,1.000,46.851,47.971,39.668,40.591,0.533,2.131,47.417,40.127,1.275,47.417,40.127,1.275,0.970,0.607,0.464,-47.309,-88.954,123.024,1.600,2.092,1.308,47.378,39.932,1.065,0.242
344,2.027,8.462,1.390,0.767,1.000,18.582,20.888,42.040,43.095,0.533,1.864,19.766,42.571,1.182,19.766,42.571,1.182,1.333,0.852,0.515,1.123,-7.751,103.166,1.565,2.589,1.654,19.109,42.370,1.065,0.242
345,4.709,15.930,1.913,0.620,1.000,32.420,35.385,41.909,43.424,0.533,2.930,34.069,42.659,1.661,34.069,42.659,1.661,1.533,1.238,0.693,-2.122,-12.619,100.970,1.238,2.213,1.787,34.067,42.370,1.598,0.308
346,0.076,1.008,0.628,0.643,1.000,56.339,56.998,42.238,42.963,0.533,1.065,56.712,42.578,0.690,56.712,42.578,0.690,0.538,0.366,0.305,65.356,-11.919,-96.695,1.469,1.766,1.202,56.537,42.304,0.533,0.110
347,0.480,3.101,0.866,0.873,1.000,47.641,48.630,42.304,43.292,0.533,1.598,48.143,42.819,1.111,48.143,42.819,1.111,0.666,0.510,0.476,-66.776,-56.917,-166.035,1.304,1.399,1.073,47.971,42.831,0.799,0.176
348,5.093,18.907,2.265,0.434,1.000,44.940,47.510,41.250,43.292,0.533,3.995,46.166,42.528,2.301,46.166,42.528,2.301,1.896,1.212,0.684,70.534,67.115,-17.272,1.564,2.771,1.772,45.731,42.633,1.864,0.329
349,0.821,4.293,0.939,0.964,1.000,3.426,4.349,43.754,44.808,0.533,1.864,3.870,44.303,1.222,3.870,44.303,1.222,0.848,0.579,0.500,-48.127,-73.660,136.520,1.463,1.697,1.160,3.690,44.281,1.065,0.242
350,3.010,11.757,1.557,0.631,1.000,44.544,47.114,44.874,45.862,0.533,2.663,45.707,45.395,1.641,45.707,45.395,1.641,1.464,1.123,0.523,3.934,11.250,-88.554,1.304,2.798,2.145,44.874,45.269,1.598,0.308
351,2.919,10.329,1.393,0.874,1.000,47.905,50.014,45.006,46.060,0.533,2.397,48.967,45.516,1.463,48.967,45.516,1.463,1.170,1.145,0.587,-175.967,6.789,-94.965,1.022,1.992,1.950,48.432,45.467,1.332,0.308
352,1.207,5.543,1.011,0.968,1.000,56.142,57.394,45.137,46.126,0.533,2.131,56.784,45.640,1.434,56.784,45.640,1.434,0.934,0.685,0.541,-76.187,-84.547,165.473,1.362,1.726,1.267,56.603,45.599,1.065,0.242
353,0.260,2.229,0.729,0.691,1.000,52.452,53.111,45.269,46.060,0.533,1.864,52.719,45.725,1.429,52.719,45.725,1.429,0.732,0.423,0.366,-21.454,-73.737,-23.385,1.730,2.001,1.157,52.649,45.599,1.332,0.176
354,4.026,12.844,1.638,0.865,1.000,2.504,4.547,46.521,48.037,0.533,2.930,3.475,47.282,1.941,3.475,47.282,1.941,1.403,0.961,0.821,-2.910,-70.739,109.680,1.461,1.710,1.170,3.229,47.246,1.598,0.373
355,4.893,14.821,1.755,0.832,1.000,27.873,30.179,46.917,48.630,0.533,2.930,29.008,47.743,1.594,29.008,47.743,1.594,1.365,1.133,0.839,-22.206,-50.078,135.645,1.205,1.628,1.351,28.334,47.510,1.332,0.308
356,17.733,40.959,3.241,0.518,1.000,30.838,37.032,46.982,48.828,0.533,3.196,33.998,47.885,1.671,33.998,47.885,1.671,3.506,1.475,0.912,1.863,-3.152,111.197,2.378,3.844,1.617,33.804,47.576,1.598,0.373
357,3.446,11.107,1.541,0.980,1.000,26.094,27.741,46.917,48.630,0.533,2.663,26.931,47.784,1.495,26.931,47.784,1.495,1.225,0.907,0.825,-65.786,-67.657,-166.501,1.351,1.484,1.099,26.555,47.576,1.332,0.308
358,0.098,1.255,0.647,0.553,1.500,63.851,64.379,47.378,48.169,0.533,1.332,64.155,47.672,0.985,64.155,47.672,0.985,0.578,0.426,0.266,-35.663,78.768,-127.137,1.356,2.171,1.601,64.181,47.510,0.799,0.154
359,3.948,13.486,1.702,0.719,1.000,8.303,10.543,46.785,48.300,0.533,2.930,9.382,47.480,1.756,9.382,47.480,1.756,1.210,1.132,0.778,-33.086,-61.376,120.158,1.069,1.556,1.455,9.291,47.180,1.598,0.308
360,5.826,16.528,1.893,0.850,1.000,38.284,40.788,47.048,48.828,0.533,3.196,39.586,47.903,1.877,39.586,47.903,1.877,1.362,1.277,0.881,7.059,13.871,-67.167,1.067,1.546,1.449,39.405,47.773,1.598,0.329
361,7.445,21.639,2.223,0.619,1.000,42.963,46.324,46.982,48.893,0.533,3.728,44.547,48.012,2.081,44.547,48.012,2.081,1.754,1.457,0.809,5.802,6.260,-66.628,1.204,2.169,1.801,44.413,47.905,1.864,0.373
362,0.668,4.432,1.044,0.581,1.000,53.374,54.494,47.839,48.828,0.533,2.131,53.951,48.328,1.481,53.951,48.328,1.481,0.865,0.570,0.487,18.677,-68.155,-152.130,1.516,1.776,1.171,53.901,48.103,1.065,0.176
363,16.667,39.598,2.878,0.506,1.000,54.231,58.843,46.719,48.893,0.533,4.794,56.388,47.881,3.000,56.388,47.881,3.000,2.514,2.031,0.875,12.133,27.395,-64.950,1.238,2.874,2.322,56.537,48.169,2.397,0.439
364,0.020,0.310,0.270,1.463,1.000,38.021,38.284,50.277,50.607,0.533,0.799,38.139,50.461,0.666,38.139,50.461,0.666,0.333,0.263,0.220,98.252,-90.000,124.531,1.266,1.516,1.198,38.087,50.409,0.533,0.110
365,2.245,9.014,1.329,0.778,1.000,26.028,27.939,50.475,51.727,0.533,2.397,27.079,51.001,1.439,27.079,51.001,1.439,1.126,0.945,0.596,-8.511,-58.644,112.816,1.191,1.888,1.585,26.951,50.936,1.332,0.286
366,0.047,0.828,0.629,0.447,1.000,42.633,43.292,50.804,51.529,0.533,1.065,42.967,51.233,0.718,42.967,51.233,0.718,0.593,0.389,0.243,46.594,-16.211,-90.491,1.526,2.440,1.600,43.095,51.332,0.533,0.110
367,0.083,0.952,0.425,0.908,1.000,62.468,62.929,50.673,51.200,0.533,1.332,62.691,50.932,0.954,62.691,50.932,0.954,0.530,0.307,0.256,-44.290,-80.798,82.875,1.727,2.073,1.201,62.665,50.936,0.799,0.176
368,2.573,9.984,1.575,0.752,1.000,10.082,11.927,50.145,51.793,0.533,2.397,10.967,50.978,1.541,10.967,50.978,1.541,1.087,0.916,0.746,-24.223,-35.221,164.647,1.186,1.457,1.228,10.609,51.134,1.065,0.242
370,2.692,10.041,1.451,0.810,1.500,56.405,58.119,50.541,52.122,0.533,2.663,57.231,51.297,1.669,57.231,51.297,1.669,1.338,0.866,0.633,-50.463,-65.255,111.304,1.546,2.115,1.368,56.933,51.266,1.332,0.308
371,6.435,21.065,2.329,0.501,1.000,22.470,25.303,50.738,53.177,0.533,4.261,23.665,51.982,2.371,23.665,51.982,2.371,2.218,1.125,0.787,31.916,-60.146,105.664,1.971,2.819,1.430,23.392,51.859,1.864,0.439
372,0.068,0.881,0.481,0.770,1.000,60.952,61.677,51.266,51.661,0.533,1.065,61.221,51.494,0.828,61.221,51.494,0.828,0.495,0.384,0.240,9.552,-44.391,88.961,1.289,2.060,1.598,61.084,51.397,0.533,0.110
373,9.155,27.622,3.160,0.450,0.000,30.311,33.672,50.738,53.177,0.533,3.728,32.350,51.947,2.162,32.350,51.947,2.162,2.257,1.352,0.980,-22.666,39.196,-101.003,1.669,2.303,1.380,32.749,51.793,1.864,0.439
374,9.679,35.503,3.723,0.237,0.000,49.816,54.758,50.607,52.913,0.533,3.462,52.476,51.799,1.982,52.476,51.799,1.982,2.918,1.141,1.015,7.913,-7.206,0.476,2.558,2.874,1.124,53.242,52.254,1.864,0.286
375,7.534,21.264,2.383,0.668,1.000,38.284,40.788,50.804,53.374,0.533,3.995,39.513,51.936,2.070,39.513,51.936,2.070,1.621,1.192,1.128,49.275,-61.466,22.299,1.360,1.436,1.056,39.075,51.925,1.598,0.373
376,3.780,15.399,2.472,0.443,1.000,20.691,23.063,51.266,53.177,0.533,3.995,21.866,52.308,2.780,21.866,52.308,2.780,1.484,1.164,0.824,-33.780,75.294,-138.849,1.274,1.800,1.413,22.140,52.056,2.663,0.286
377,0.075,0.983,0.400,0.672,1.000,45.665,46.126,52.781,53.111,0.533,1.598,45.892,52.951,1.194,45.892,52.951,1.194,0.675,0.261,0.241,-4.150,-87.605,100.883,2.588,2.796,1.080,45.796,52.913,1.065,0.154
378,0.014,0.277,0.226,1.026,1.000,41.381,41.579,53.242,53.506,0.533,1.065,41.480,53.363,0.710,41.480,53.363,0.710,0.402,0.226,0.190,-92.522,-83.726,110.076,1.775,2.117,1.192,41.447,53.308,0.533,0.088
379,0.053,0.723,0.358,0.848,1.000,48.893,49.223,53.111,53.506,0.533,1.332,49.080,53.308,1.019,49.080,53.308,1.019,0.516,0.265,0.230,66.697,-87.266,66.917,1.947,2.244,1.152,49.025,53.177,0.799,0.110
380,0.020,0.354,0.274,0.986,1.000,41.909,42.172,53.177,53.506,0.533,1.065,42.062,53.334,0.901,42.062,53.334,0.901,0.386,0.252,0.211,-41.504,-83.886,-29.206,1.534,1.831,1.194,42.040,53.242,0.799,0.110
381,0.701,4.924,1.277,0.465,1.000,58.975,60.293,53.045,53.967,0.533,2.397,59.571,53.354,1.589,59.571,53.354,1.589,1.113,0.672,0.366,-20.770,-72.243,110.293,1.656,3.042,1.837,59.371,53.308,1.598,0.242
382,6.344,18.118,1.962,0.765,1.000,0.857,3.361,54.099,56.142,0.533,2.930,2.075,55.087,1.501,2.075,55.087,1.501,1.391,1.294,0.958,30.572,47.234,-38.134,1.075,1.451,1.350,1.779,54.758,1.598,0.351
383,6.963,20.417,2.298,0.644,1.000,16.078,18.648,54.297,56.735,0.533,3.196,17.514,55.424,1.640,17.514,55.424,1.640,1.605,1.224,1.068,44.702,-43.157,-127.715,1.311,1.503,1.147,17.857,55.681,1.598,0.373
384,9.359,22.723,2.303,0.844,1.000,18.384,21.020,54.363,56.801,0.533,3.196,19.698,55.652,1.674,19.698,55.652,1.674,1.509,1.382,1.196,-73.264,67.078,118.878,1.092,1.261,1.155,19.834,55.285,1.598,0.373
385,0.742,3.977,0.873,0.991,1.000,37.691,38.680,54.626,55.549,0.533,1.864,38.225,55.025,1.142,38.225,55.025,1.142,0.855,0.536,0.488,-54.581,-74.720,154.767,1.596,1.751,1.098,38.087,54.890,1.065,0.242
386,16.152,40.634,3.934,0.440,0.000,4.217,8.830,54.231,56.471,0.533,3.995,6.710,55.441,2.117,6.710,55.441,2.117,2.760,1.637,1.082,-3.083,18.637,-95.076,1.686,2.551,1.513,7.644,55.219,1.864,0.439
387,3.832,12.420,1.665,0.867,1.000,12.322,14.233,54.297,56.274,0.533,2.663,13.272,55.284,1.545,13.272,55.284,1.545,1.262,0.964,0.844,-46.620,-65.527,139.691,1.310,1.495,1.142,13.047,55.022,1.332,0.308
388,10.814,24.468,2.337,0.903,1.000,24.051,26.819,54.560,56.933,0.533,2.930,25.446,55.768,1.757,25.446,55.768,1.757,1.613,1.400,1.239,10.834,-23.997,60.238,1.152,1.302,1.131,25.369,55.351,1.598,0.373
389,15.697,40.720,4.681,0.413,-0.500,30.838,35.517,54.560,57.328,0.533,3.462,33.037,55.920,1.834,33.037,55.920,1.834,2.777,1.346,1.212,-9.315,7.924,75.777,2.062,2.291,1.111,34.594,55.549,1.598,0.373
390,10.566,32.047,3.334,0.384,0.000,20.823,24.249,54.429,56.867,0.533,3.196,22.528,55.741,1.812,22.528,55.741,1.812,1.936,1.456,1.167,-6.649,3.761,99.235,1.330,1.659,1.247,22.865,55.351,1.598,0.373
391,8.224,20.203,2.210,0.928,1.000,28.598,30.970,54.560,57.064,0.533,2.930,29.758,55.841,1.697,29.758,55.841,1.697,1.353,1.308,1.199,97.727,77.542,-56.792,1.035,1.128,1.091,29.455,55.417,1.598,0.373
392,6.719,18.174,1.853,0.850,1.000,8.698,10.873,54.626,56.537,0.533,3.728,9.777,55.624,2.325,9.777,55.624,2.325,1.634,1.117,0.963,-17.660,82.805,-112.511,1.463,1.696,1.159,10.016,55.549,2.131,0.439
393,13.116,36.186,3.055,0.411,1.000,58.184,62.534,54.890,57.591,0.533,3.462,60.191,56.230,1.879,60.191,56.230,1.879,2.509,1.552,1.001,-10.642,-16.164,141.569,1.617,2.508,1.551,58.778,56.735,1.332,0.308
394,0.570,3.309,0.908,1.014,1.000,14.563,15.551,55.549,56.603,0.533,1.598,15.110,56.109,0.960,15.110,56.109,0.960,0.602,0.567,0.540,-89.909,-52.959,-85.209,1.060,1.115,1.051,15.090,55.812,0.799,0.176
396,14.301,37.960,4.147,0.423,1.000,45.401,50.277,54.890,57.196,0.533,3.196,47.719,56.034,1.893,47.719,56.034,1.893,2.988,1.296,1.159,-1.659,-1.682,139.065,2.305,2.579,1.119,46.389,55.746,1.864,0.329
397,8.258,20.880,2.377,0.847,1.000,50.145,53.045,54.956,57.196,0.533,3.196,51.839,56.047,1.864,51.839,56.047,1.864,1.456,1.354,1.091,1.441,-12.965,-124.586,1.075,1.334,1.241,51.661,55.615,1.598,0.308
398,0.030,0.475,0.314,0.953,1.000,1.120,1.384,56.339,56.735,0.533,1.065,1.272,56.519,0.768,1.272,56.519,0.768,0.447,0.259,0.206,90.374,79.114,95.218,1.728,2.173,1.258,1.252,56.471,0.533,0.110
399,6.368,17.899,2.079,0.800,1.000,62.731,65.301,55.087,57.196,0.533,3.196,64.041,56.088,1.932,64.041,56.088,1.932,1.374,1.338,0.932,7.560,6.837,-52.474,1.027,1.475,1.436,63.983,56.010,1.598,0.308
400,0.020,0.351,0.225,1.011,1.000,38.087,38.350,57.130,57.328,0.533,1.065,38.224,57.237,0.744,38.224,57.237,0.744,0.430,0.224,0.199,51.035,-86.313,36.271,1.917,2.164,1.129,38.153,57.196,0.533,0.110
401,0.045,0.602,0.356,1.054,1.000,12.783,13.179,58.250,58.646,0.533,1.065,12.979,58.461,0.727,12.979,58.461,0.727,0.420,0.274,0.260,57.790,-81.117,-111.408,1.532,1.617,1.055,12.915,58.316,0.533,0.110
402,0.842,4.475,0.922,0.894,1.000,3.031,4.151,58.053,58.909,0.533,2.131,3.606,58.479,1.307,3.606,58.479,1.307,0.838,0.602,0.492,-14.764,-80.289,119.091,1.392,1.704,1.224,3.492,58.514,1.065,0.242
403,0.013,0.227,0.215,1.570,1.000,8.434,8.632,58.778,59.041,0.533,0.799,8.527,58.918,0.666,8.527,58.918,0.666,0.333,0.230,0.201,93.298,-90.000,108.369,1.446,1.661,1.149,8.500,58.909,0.533,0.110
404,3.942,18.465,2.298,0.279,1.000,50.277,52.979,58.250,59.964,0.533,3.995,51.501,59.140,2.670,51.501,59.140,2.670,1.538,1.419,0.757,106.795,64.214,168.251,1.084,2.033,1.876,51.332,59.371,2.131,0.242
405,0.554,3.402,0.789,0.881,1.000,53.177,54.231,59.107,59.832,0.533,1.864,53.697,59.488,1.189,53.697,59.488,1.189,0.801,0.542,0.403,-18.646,-67.431,100.601,1.478,1.989,1.346,53.572,59.371,1.065,0.198
406,0.586,3.645,0.791,0.803,1.000,59.568,60.754,59.173,59.832,0.533,1.864,60.122,59.512,1.243,60.122,59.512,1.243,0.815,0.632,0.357,-5.586,-69.671,97.555,1.289,2.285,1.772,60.030,59.502,1.065,0.242
407,1.075,5.152,1.065,0.956,1.000,17.989,19.571,60.227,61.216,0.533,1.598,18.799,60.749,1.011,18.799,60.749,1.011,0.897,0.692,0.525,2.737,-9.506,85.629,1.295,1.708,1.319,18.384,60.425,0.799,0.176
408,0.015,0.251,0.221,1.616,1.000,58.053,58.316,60.623,60.886,0.533,0.799,58.177,60.747,0.666,58.177,60.747,0.666,0.333,0.230,0.214,-87.089,-90.000,42.089,1.450,1.556,1.073,58.119,60.688,0.533,0.110
409,0.246,2.033,0.634,0.817,1.000,15.683,16.539,60.425,61.018,0.533,1.598,16.077,60.769,1.110,16.077,60.769,1.110,0.572,0.481,0.342,3.096,-85.957,97.548,1.187,1.673,1.409,16.078,60.754,1.065,0.176
410,0.056,0.744,0.360,0.845,1.000,48.498,48.893,61.347,61.743,0.533,1.332,48.679,61.531,0.882,48.679,61.531,0.882,0.521,0.268,0.241,-82.528,-82.710,-154.672,1.949,2.163,1.110,48.630,61.479,0.533,0.110
411,6.138,18.291,2.090,0.696,1.000,17.132,20.098,62.863,64.906,0.533,2.663,18.583,63.797,1.624,18.583,63.797,1.624,1.696,1.033,0.963,-18.504,10.932,-100.859,1.641,1.761,1.073,19.373,63.588,1.332,0.308
412,7.137,18.966,2.217,0.844,1.000,40.459,43.227,63.061,65.433,0.533,2.663,41.921,64.251,1.397,41.921,64.251,1.397,1.464,1.245,1.033,4.051,-9.285,-163.786,1.176,1.417,1.205,41.711,63.785,1.332,0.308
413,2.271,10.005,1.861,0.582,1.000,54.033,55.285,63.324,65.762,0.533,2.131,54.604,64.433,1.305,54.604,64.433,1.305,1.373,0.889,0.572,-80.761,-13.384,-74.437,1.545,2.402,1.554,54.429,64.181,1.065,0.242
414,0.676,4.363,1.127,0.623,1.000,65.696,67.212,62.929,64.115,0.533,1.864,66.532,63.499,1.488,66.532,63.499,1.488,0.741,0.607,0.572,14.330,-5.601,-116.737,1.220,1.295,1.061,66.619,63.258,1.332,0.176
415,5.140,14.508,1.881,0.978,1.000,28.137,29.982,63.192,65.433,0.533,2.663,29.066,64.304,1.501,29.066,64.304,1.501,1.233,1.128,0.968,-91.663,-40.314,99.351,1.093,1.273,1.165,28.993,63.720,1.332,0.308
416,3.017,10.680,1.557,0.845,1.000,52.452,53.967,63.258,65.103,0.533,2.397,53.210,64.207,1.416,53.210,64.207,1.416,1.080,0.983,0.770,-82.788,-71.651,111.426,1.099,1.402,1.276,53.308,64.313,1.332,0.308
